type,Post,Pre,delta_slope
CommitCommentEvent,-34.254718076937145,0.5623831035543613,-34.817101180491505
CreateEvent,-36.273201382563855,111.98371043151626,-148.25691181408013
DeleteEvent,-26.01093923109285,27.38784202932541,-53.39878126041826
GollumEvent,-2.6888916275522035,-0.6108541431048853,-2.078037484447318
IssueCommentEvent,-21.915259524179227,30.392970054000077,-52.30822957817931
IssuesEvent,34.76984445171018,13.088892728643042,21.680951723067135
MemberEvent,0.30928953623054467,1.7503206809117993,-1.4410311446812547
PublicEvent,1.4944057539815065,4.230031174213474,-2.7356254202319676
PullRequestEvent,-8.152971465512861,86.71177385003732,-94.86474531555018
PullRequestReviewCommentEvent,3.949181262549824,15.155755585318987,-11.206574322769164
PullRequestReviewEvent,-9.612848523497927,,
PushEvent,655.2569118229011,341.61306300814164,313.64384881475945
ReleaseEvent,3.7235228135520675,3.1240856444520078,0.5994371691000597
WatchEvent,-71.48831015007995,44.22375185698981,-115.71206200706976
